tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931860116160249856,garymartin1981,445,2017-11-18 12:22:19,RT @ThomasEvansGB: Ain't it the truth! #Brexit https://t.co/e5sg6UDAn8,Twitter for iPhone,0,30,southend-on-sea
931860101346091008,PeteLlewelyn,789,2017-11-18 12:22:15,RT @jurygroup: Do you believe that Germany and France have been the issue with unreasonable negotiations going forward with #Brexit? @David…,Twitter for Android,0,114,Cardiff
931860089555816448,PeterRNeumann,23200,2017-11-18 12:22:13,"Just in case you wonder, this is the level of discourse in Britain right now... #brexit https://t.co/uhTTPl7bnZ",Twitter for Android,2,0,
931860089471987712,Insinuare,1237,2017-11-18 12:22:13,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter Web Client,0,117,Europe
931860077031682048,AshBarratt1984,933,2017-11-18 12:22:10,"RT @TomFlynnTeeVee: Labour MP Emily Thornbury said that 'planes won't fly' after #Brexit. I'm sorry, I didn't know our ability to make our…",Twitter for Android,0,48,
931860074309570560,StevePangaean,442,2017-11-18 12:22:09,"#Brexit already own a German car?, look forward to the extra costs of repair and maintenance in the event of a no deal and a lower sell on.",Twitter for Android,0,0,"North West, England"
931860063811141632,LivnWLupus,2034,2017-11-18 12:22:06,"RT @zlando: Skate boards can be dangerous.
So is allowing people like this into your country!
#Brexit
#MAGA https://t.co/9wSP1wjuO3 1510987…",Twitter for iPad,0,2,Where ever I want to be
931860054369808385,EveryonesUnion,779,2017-11-18 12:22:04,@FabianPicardo @BBCParliament One of our admins was interviewed on #Gibraltar national day and said that Gibraltar… https://t.co/0UVI1fYy0w,Twitter for iPhone,0,0,United Kingdom
931860034740543488,AFP,1316672,2017-11-18 12:22:00,RT @EUDataNewsHub: European cities involved in fierce competition to win right to host the EMA and EBA after #Brexit https://t.co/mw2d2TY7v…,TweetDeck,0,1,France
931860026989441024,EneNewsRox,535,2017-11-18 12:21:58,RT @jurygroup: Do you believe that Germany and France have been the issue with unreasonable negotiations going forward with #Brexit? @David…,Twitter for iPad,0,114,Edinburgh
931860008291139584,Helen121,2215,2017-11-18 12:21:53,"RT @PhilipCJames: The awful irony? Many who voted to #Brexit were protesting decades of govt neglect.

But only 0.37% of govt spending goes…",Twitter Web Client,0,2,Oxford
931859984052342784,maelysdervenn,1084,2017-11-18 12:21:47,"Great thread about this week's inane actions of the #brexit #tory kakocracy (real word, honest). https://t.co/OTYhYOaIoO",Twitter Web Client,0,0,UK
931859982601072640,morrislaw,1596,2017-11-18 12:21:47,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for iPhone,0,117,"Florida, USA"
931859967824613382,Kev_Andrew,822,2017-11-18 12:21:44,Remember when #Brexit Brits were convinced Ireland would follow them out of Europe like good little subjects. https://t.co/HcRmtgb2N8,Twitter for iPhone,0,0,"London, United Kingdom"
931859903077126144,2bbcom,407,2017-11-18 12:21:28,"RT @WhyToVoteGreen: Please retweet if you are angry that our country is pursuing a disastrous   #Brexit, sold on lies &amp; promoted by people…",Twitter for Android,0,265,"Cottingham, East Yorkshire, UK"
931859902762323968,EUFreeMovement,606,2017-11-18 12:21:28,RT @plegrain: More than 1/3 of tech entrepreneurs in UK have lost a prospective hire cos of uncertainty about immigration since #Brexit vot…,Twitter for iPhone,0,5,
931859894562689024,HWinckelmann,1707,2017-11-18 12:21:26,"You are beyond satire. 

Beyond. Fucking. Satire. 

#Brexit https://t.co/tNQPA1Hy9f",Twitter for iPhone,1,0,"London, Europe"
931859823389478914,Cadoret,877,2017-11-18 12:21:09,"RT @Bonn1eGreer: This from the @EveshamJournal:
A clear and elegant case for  a #Brexit rethink and a check- back with the electorate 
Than…",Twitter for Android,0,27,Clacton on sea/London
931859800266244096,robmoat,1680,2017-11-18 12:21:04,"RT @zlando: Skate boards can be dangerous.
So is allowing people like this into your country!
#Brexit
#MAGA https://t.co/9wSP1wjuO3 1510987…",Twitter for Android,0,2,
931859792552955904,justthevax,1241,2017-11-18 12:21:02,RT @Rachel5742: 4. #Brexit = a massive loss of influence &amp; control...40 years of careful post Imperial foreign policy wrecked... https://t.…,Twitter for iPhone,0,9,
931859710659227648,pr0udwhite,2800,2017-11-18 12:20:42,"India and US use WTO rules to SURPASS UK in EU trade as #Brexit delay 'leaves us lagging'
https://t.co/m7oebcqHPa",ARE Feed2Tweet,0,0,
931859707853246464,dogbiscuituk,131,2017-11-18 12:20:42,"#Brexit supporters ""Putin's useful idiots"" 
 https://t.co/6OHCgUHpM8",Twitter for Android,0,0,Scotland
931859684004331521,KingOfWrong,1056,2017-11-18 12:20:36,"@Brexit Yes, we should make the first move. And remember #WarGames - “the only winning move is not to play” #WalkAway #brexit",Twitter for iPhone,0,0,City of London
931859682947403776,fawcettsociety,41048,2017-11-18 12:20:36,RT @Samsmethers: Now hearing from @RachelCrasnowQC on the impact of #Brexit on women's rights #FeministFutures,Twitter for Android,0,1,UK
931859676609708032,WICKEDXWAYS1972,4735,2017-11-18 12:20:34,"RT @sine_injuria: #MAGA #MEGA 
#Europe #EU #EUSSR #V4 #BrexitHoax #Brexit #Remain #NuitDebout #BlocIdentitaire #Pegida @Europol @INTERPOL_H…",Twitter Web Client,0,1,yemenwar.info
931859665432076288,stackeroo,116,2017-11-18 12:20:32,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for iPhone,0,117,
931859648625479680,erikwill,23470,2017-11-18 12:20:28,RT @docrussjackson: 61% of leave voters agree “significant damage to the British economy” is worth it for #Brexit. Asked would it be worth…,Twitter for Android,0,34,"Indiana, USA"
