tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
934570207879794688,Sheesh_B,False,218,2017-11-25 23:51:15,"RT @Scientists4EU: Thanks, muppets. It’s this ‘clean break’ talk that’s fracturing our Single Market into UK vs EU and driving our pharma &amp;…",,,Twitter for iPhone,True,False,0,245,
934570203677118466,wikogolf,False,212,2017-11-25 23:51:14,RT @Tonygoode: In case you missed it: Ireland’s RTE has a leaked document showing EU officials think the UK’s Brexit negotiations are chaot…,,,Twitter for Android,False,False,0,7,
934570198006452224,Stevew2976,False,97,2017-11-25 23:51:13,"RT @mcbogwirtell: "" The European model beckons as the enlightened, internationalist, progressive vision – the Europhobic model is a land of…",,,Twitter for iPad,False,False,0,5,"England, United Kingdom"
934570196752269317,KRobbo7306,False,65,2017-11-25 23:51:13,RT @patrburke: Is there a competition between the Telegraph and the Spectator over who can publish the most disingenuous nonsense about Ire…,,,Twitter for Android,False,False,0,5,
934570196278366209,LiveEUDebate,False,24506,2017-11-25 23:51:12,RT @JackCoganThomas: @UKIP is the only political party in the UK that is really taking action on getting us out of the EU #Brexit #UKIP #We…,,,Live EU Debate,False,False,0,3,UK
934570188556652544,xtaldave,False,2489,2017-11-25 23:51:11,RT @hendopolis: MAIL ON SUNDAY: Putin link to Boris and Gove Brexit ‘Coup’ #tomorrowspaperstoday https://t.co/k2NQ61oaay,,,Twitter Web Client,False,False,0,522,"London, YERP."
934570185750487040,bushbytiger,False,510,2017-11-25 23:51:10,"RT @drjanaway: #honestpoll Now it seems we may be facing ""no deal"" #brexit, how would you vote? Please #retweet to increase sample size. Re…",,,Twitter for iPad,False,False,0,1941,South Beach South Fremantle WA
934570183787728896,martytyke,False,1192,2017-11-25 23:51:09,"RT @RichardWellings: 'No EU-UK deal? It is not the end of the world', says head of the WTO https://t.co/g1FggA6lYb #Brexit",,,Twitter for iPad,False,False,0,60,Devon
934570183066136576,ju0dy,False,13336,2017-11-25 23:51:09,Nigel Farage: If Boris Johnson wants to be Prime Minister he MUST back EU EXIT #BorisJohnson #BorisJohnson… https://t.co/8JDcOHP3TT,,,dlvr.it,False,False,0,0,
934570179429670912,ReaperSteven,False,2976,2017-11-25 23:51:08,"RT @Scientists4EU: Johnson &amp; Johnson pulls plan for UK research centre... citing political &amp; economic weakness caused by Brexit, concerns o…",,,Twitter Lite,False,False,0,2493,"Derby, England"
934570176820981760,kev_bot_social,False,2,2017-11-25 23:51:08,It promises to deliver a Brexit deal?,,,kev's bot,False,False,0,0,
934570174065278976,jimnoakes,False,3273,2017-11-25 23:51:07,In the interests of furthering our talks on the Irish border can I suggest @theresa_may and @campaignforleo engage… https://t.co/etByMJRvPi,,,Twitter Web Client,False,False,6,2,dream of things & ask why not
934570173859852288,lilaccruiser,False,34,2017-11-25 23:51:07,"@jjcwow @iThinkSergio @DanielJHannan @StephenPLundy That's cool.  But I don't think leave does mean leave, in reali… https://t.co/4hnYhxQplt",jjcwow,934568904877314053,Twitter for iPad,False,False,0,0,London
934570173251620865,BritishSos,False,2181,2017-11-25 23:51:07,RT @A_Liberty_Rebel: We must have no truck with an elastic Brexit transition period during which we remain subject to EU rules &amp; ECJ jurisd…,,,Twitter for Android,False,False,0,13,Glasgow
934570172786118656,t_viljanen,False,1286,2017-11-25 23:51:07,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter for iPhone,False,False,0,709,Suomi 
934570171540353024,geraintx86,False,17,2017-11-25 23:51:07,RT @acgrayling: We should demand FREE VOTES by MPs in all Brexit matters in Parliament. Whipping the vote - forcing MPs to vote against the…,,,Twitter for Android,False,False,0,2060,
