,tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
419,934570932877910016,AlexJTudor,False,280,2017-11-25 23:54:08,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter for iPad,False,False,0,541,newly moved to Kent (2017)
420,934570931632173059,TheMehOffice,False,3592,2017-11-25 23:54:08,RT @StopBrexitMarch: We welcome everyone who regrets voting leave! Time to work together to get UK Gov &amp; MPs to act in the best interests o…,,,Twitter for iPhone,False,False,0,36,
429,934570910215962626,LiveEUDebate,False,24506,2017-11-25 23:54:03,RT @DVATW: I don’t WANT a deal with this mob. WALK AWAY. https://t.co/JQ898g1K71,,,Live EU Debate,False,False,0,193,UK
434,934570892864184320,tina_tinalondon,False,3808,2017-11-25 23:53:59,RT @Daily_Express: BREXIT FURY: Nigel Farage hits out after leaked papers show transitional Brexit deal CONDITIONAL on accepting NEW EU rul…,,,Twitter for Android,False,False,0,98,"St. Albans, Herts."
437,934570890641199104,beatnik69,False,93,2017-11-25 23:53:58,"RT @rocciabella: If you voted leave but now, in light of the financial data, wished you had voted remain then join us. You are not alone. T…",,,Twitter for Android,False,False,0,35,are you stalking me?
442,934570872890945537,EmcR12,False,391,2017-11-25 23:53:54,"RT @thesymbolic: Arlene Foster doesn’t speak for Northern Ireland. She isn’t the first Minister. The people themselves have spoken, and sai…",,,Twitter for Android,False,False,0,558,NI
459,934570827600687104,helen_rumney,False,1447,2017-11-25 23:53:43,"RT @RandallWigle: Post-Brexit, many in the UK think a US-UK trade deal will be a cake walk. I am not so sure. https://t.co/Mi1YzYPv7w",,,Twitter for iPhone,False,False,0,2,The wilds of southern Ontario
474,934570782184869888,DempsterLis,False,194,2017-11-25 23:53:32,"RT @Femi_Sorry: Why am I giving @DanielJHannan a hard time?
Because if you tell people (pre-referendum) that ""Absolutely nobody is talking…",,,Twitter for Android,False,False,0,1262,Scotland
475,934570781513867264,jdjack1,False,162,2017-11-25 23:53:32,RT @carole99897: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter for Android,False,False,0,23,
513,934570693588643847,hrothmund_,False,100,2017-11-25 23:53:11,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter for Android,False,False,0,709,
514,934570686345043968,Margybargy,False,1809,2017-11-25 23:53:09,"RT @withorpe: These people view Brexit as a means to increase company profits by weakening employment, environmental, food and health and s…",,,Twitter for iPhone,False,False,0,510,London UK
527,934570654266949632,UK_EPP,False,1249,2017-11-25 23:53:02,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter for iPad,False,False,0,541,UK
528,934570644397875200,irishsunnews,False,473,2017-11-25 23:52:59,"Brexit set to impact Irish tourism, travel agents claim  https://t.co/lbHMdRirvT",,,SocialPilot Custom Package,False,False,0,0,"Dublin, Ireland"
531,934570637842173953,harit3,False,125,2017-11-25 23:52:58,‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/mvn0lREF7n,,,Hootsuite,False,False,0,0,
532,934570634407022592,chrisk_hw,False,586,2017-11-25 23:52:57,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter for iPad,False,False,0,709,United Kingdom
547,934570560117407744,Keith4uk,False,20,2017-11-25 23:52:39,BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/wQ1oEANaWq,,,Twitter for iPad,False,False,0,0,"England, United Kingdom"
554,934570544518885376,preshn9,False,260,2017-11-25 23:52:35,"RT @lesbonner: RT @Undercover_mole: ""Irrelevant Brexit Britain"" a phrase we are going to see and hear a lot more of once we leave the EU. B…",,,Twitter for Android,False,False,0,1,
564,934570527016046592,csibike1,False,3026,2017-11-25 23:52:31,"RT @MePeebs: Petition: Parliament's vote on the Brexit deal must include an option to remain in the EU. https://t.co/w7uEdLUkSD
#StopBrexit…",,,Twitter Lite,False,False,0,10,"London as yet GB, Europe"
580,934570472779468800,Midgecat,False,432,2017-11-25 23:52:18,"RT @JeanneBartram: Finally, the reality of Brexit can no longer be avoided https://t.co/E1Q6V7QlFS",,,Twitter Web Client,False,False,0,5,England
590,934570433478737921,Bobduff1,False,278,2017-11-25 23:52:09,RT @LouiseBagshawe: EXCLUSIVE: UK 🇬🇧 intelligence sources say #Brexit referendum so flooded with Russian money and bots as not to be “free…,,,Twitter for iPad,False,False,0,241,Australia
609,934570385584148480,neilonanhst,False,833,2017-11-25 23:51:58,RT @guardian: ‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/gTPowzMQwD,,,Tweetbot for iΟS,False,False,0,72,Devon (a mile from Cornwall)
610,934570384917192704,FParsonage,False,496,2017-11-25 23:51:57,RT @ottocrat: This is very good. @IanDunt does do his homework. I wish he were read by the people who need to read him. https://t.co/HtueG8…,,,Twitter for iPhone,False,False,0,397,Colombia / UK
612,934570376465698816,csibike1,False,3026,2017-11-25 23:51:55,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter Lite,False,False,0,541,"London as yet GB, Europe"
620,934570360674144257,CrypticVet,False,180,2017-11-25 23:51:52,RT @carole99897: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter for iPad,False,False,0,23,
634,934570315698593792,pagangill,False,957,2017-11-25 23:51:41,RT @annaturley: These are the people driving Brexit. How is this ‘taking back control’? Putin's link to Boris and Gove's Brexit 'coup' reve…,,,Twitter for Android,False,False,0,12,North east England
