tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931884457220505605,vicanderso,704,2017-11-18 13:59:02,"RT @MollyMEP: US to fight UK at WTO if it adopts EU-style approach to crop protection rules: classic example of #Brexit as Trojan horse, in…",Twitter for Android,0,47,London
931884421220794368,eltoof,53,2017-11-18 13:58:54,"RT @TheBrexitComic: Britain's negotiating team

#Brexit https://t.co/i0yLKfWANd",Twitter for iPhone,0,131,United Kingdom
931884407673245696,LovelyLovell7,176,2017-11-18 13:58:51,RT @thatginamiller: There have been far too many Breaches of the Ministerial Code over #Brexit.  People deserve truth from the #MPs they el…,Twitter for Android,0,119,"Devon, UK"
931884396373794816,ScottGSimmons,60,2017-11-18 13:58:48,Really interesting thread from @sturdyAlex on #Brexit. The kind of complexities that most of us have no idea about.… https://t.co/o6jQQTo5t7,Twitter for Android,0,0,
931884393026785282,TeddyUKIPClark,12795,2017-11-18 13:58:47,"RT @LesleyMillercyp: I went to bed last night thinking what a diabolic job @Conservatives are doing with #Brexit negotiations, which they a…",Twitter Web Client,0,9,Yorkshire Republic #LUFC
931884381169438720,conchobhar03,82,2017-11-18 13:58:44,The Sun newspaper launched a mass of insults at Leo Varadkar. It's funny because the readers of this tabloid still… https://t.co/xd8aBOH52N,Twitter for Android,0,0,"Dublin City, Ireland"
931884373267419136,andyfoulsham,542,2017-11-18 13:58:42,RT @Doozy_45: BREXIT ROUND-UP: Pharmaceutical firms trigger contingency plans for a no-deal Brexit / #Brexit #Science #NHS https://t.co/sME…,Twitter for Android,0,21,"Oxford, UK"
931884364190879756,theplanorak,221,2017-11-18 13:58:40,Awful news for post #Brexit British #environment . Dust off the #DirtyManOfEurope hashtag. https://t.co/oIVdMP6BHA,Twitter for Android,0,1,
931884356733464576,BJ_Gardener,1736,2017-11-18 13:58:38,"RT @SW11simon: If, as rumoured, #DavidDavis throws in the towel, who should replace him?
#Brexit",Twitter for iPhone,0,27,
931884330233880576,ucf_seber,94,2017-11-18 13:58:32,It won't surprise me to see arguments/violence by disturbed #Brexit leave voters who won. Taking out personal grievances on '#immigrants'.,Twitter for Android,0,0,London
931884303025307648,ProfSteveBask,161,2017-11-18 13:58:26,“Am I a remoaner for thinking about this? Or are you a fool for not?” #Brexit fundamentalists have no answers to th… https://t.co/LVdMV80GdR,Twitter for iPad,0,0,"Cumbria, CA14 4RR"
931884302018760707,CasaBowe,119,2017-11-18 13:58:25,@grahamlithgow @BrexitResist (UKIP) long-termism &amp; cultlike underground/word of mouth techniques associated with… https://t.co/JUO55LM6wB,Twitter for iPhone,0,0,UK EU 
931884282091573248,ProfPech,3929,2017-11-18 13:58:21,Compelling genesis of the UK government's current #Brexit predicament (to put it politely) in 21 tweets https://t.co/e4JRzKxN9R,TweetDeck,3,1,London
931884261866647554,stellaparkes,1813,2017-11-18 13:58:16,RT @andrewstroud_da: A QUARTER of people who voted #Brexit believe they were duped by #Leave campaign https://t.co/IdG3NVLN1h via @LondonEc…,Twitter for iPad,0,1,Stroud
931884253171933188,Kaparelle,513,2017-11-18 13:58:14,RT @rodbishop15: This is why investment has slowed in this country. Not #Brexit . Labour will wreck the country. https://t.co/Vi5NoaJ4Kk,Twitter for Windows,0,6,Spain
931884251158638592,mariecasey1,2818,2017-11-18 13:58:13,RT @Glensailing: Good to know that Ireland can put a pole in the spokes of #Brexit. Rightly so too! Lets hear reasons from more of the EU27…,Twitter for iPhone,0,5,sligo  ireland
931884217495113728,davidellisfan,283,2017-11-18 13:58:05,"RT @RichRJohnstone: National Audit Office's #Brexit review: “Up to 1,000” pieces of secondary legislation would need to be in place by Marc…",Twitter Web Client,0,1,"Lowestoft, Suffolk"
931884216656302081,texthistory,431,2017-11-18 13:58:05,"RT @stuherbert: The @BBCNews seems determined to keep Mugabe on the front page, and #brexit developments (such as the vote to allow reducti…",Twitter for iPhone,0,1,UK
931884181847793664,GreenAlty,2136,2017-11-18 13:57:57,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,TweetDeck,0,214,Altrincham
931884178957914112,Badenas111,29,2017-11-18 13:57:56,#Erasmus because of #Brexit UK young people will miss out on this? Crazy. https://t.co/pXXGkkHAdG,Twitter for Android,0,0,
931884162348396545,ucf_seber,94,2017-11-18 13:57:52,"From leave #EU vote #Brexit &amp; @realDonaldTrump, what I take is that people will realise the relevance of voting and change.",Twitter for Android,0,0,London
931884161098571776,andymoz78,7303,2017-11-18 13:57:52,RT @PaddyBarry5: Contrast the clarity of Taoiseach Leo Varadkar's explanation of the Irish Government's position on #Brexit with the obfusc…,Twitter for iPhone,0,3,"Cambridge, England"
